pali,thai
โส ภควา อิติปิ โลกวิทู,พระผู้มีพระภาคพระองค์นั้นทรงได้พระนามว่าโลกวิทู  เพราะเหตุเหล่านี้
โส ภควา อิติปิ อนุตฺตโร,พระผู้มีพระภาคพระองค์นั้นทรงได้พระนามว่าอนุตตระ เพราะเหตุเหล่านี้
โส ภควา อิติปิ ปุริสทมฺมสารถิ,พระผู้มีพระภาคพระองค์นั้นทรงได้พระนามว่าปุริสทัมมสารถิ    เพราะเหตุเหล่านี้
,อีกอย่างหนึ่ง
โส ภควา อิติปิ อนุตฺตโร ปุริสทมฺมสารถิ,พระผู้มีพระภาคพระองค์นั้นทรงได้พระนามว่าอนุตตระ  ปุริสทัมมสารถิ  เพราะเหตุเหล่านี้
โส ภควา อิติปิ สตฺถา เทวมนุสฺสานํ,พระผู้มีพระภาคพระองค์นั้นทรงได้พระนามว่าสัตถา  เทวมนุสสานัง  เพราะเหตุเหล่านี้
โส ภควา อิติปิ พุทฺโธ,พระผู้มีพระภาคพระองค์นั้นทรงได้พระนามว่าเป็นพุทธะ  ผู้รู้  ผู้ตื่น  ผู้เบิกบาน  เพราะเหตุเหล่านี้
โส ภควา อิติปิ ภควา,พระผู้มีพระภาคพระองค์นั้นทรงได้พระนามว่าภควา   เพราะเหตุเหล่านี้
,... (๑๖)
ขลุ,ได้ทราบว่า
โภ สมโณ,ท่านพระสมณะ
โคตโม,ผู้มีนามว่าโคดม
สมนฺนาคโต,ทรงเป็นผู้ประกอบแล้ว
ทฺวตฺตึสมหาปุริสลกฺขเณหิ,ด้วยพระมหาปุริส ลักษณะ  ๓๒  ประการ ท.
(โหติ),ย่อมเป็น ...  (๑๗)
ขลุ,ได้ทราบว่า
โภ สมโณ,ท่านพระสมณะ
โคตโม,ผู้มีนามว่าโคดม
เอหิสฺวาคตวาที,ทรงเป็นผู้มีปกติกล่าวเชื้อเชิญ
สขิโล,ทรงเป็นผู้มีวาจาอ่อนหวาน
สมฺโมทโก,ทรงเป็นผู้ฉลาดในปฏิสันถาร
อพฺภากุฏิโก,ทรงเป็นผู้มีพระพักตร์ไม่เคร่งขรึม
อุตฺตานมุโข,ทรงเป็นผู้มีพระวาจาอันได้โดยง่าย
ปุพฺพภาสี,ทรงเป็นผู้มีปกติตรัสทักทายก่อน
(โหติ),ย่อมเป็น ... (๑๘)
ขลุ,ได้ทราบว่า
โภ สมโณ,ท่านพระสมณะ
โคตโม,ผู้มีนามว่าโคดม
ปริสานํ,อันบริษัท ท.
สกฺกโต,สักการะแล้ว
ครุกโต,เคารพแล้ว
มานิโต,นับถือแล้ว
ปูชิโต,บูชาแล้ว
อปจิโต,นอบน้อมแล้ว ... (๑๙)
ขลุ,ได้ทราบว่า
เทวา จ,เทวดา ท. ด้วย
มนุสฺสา จ,มนุษย์ ท. ด้วย
พหู,จำนวนมาก
อภิปฺปสนฺนา,เลื่อมใสอย่างยิ่ง
โภ สมเณ,ในท่านพระสมณะ
โคตเม,ผู้มีนามว่าโคดม ... (๒๐)
ขลุ,ได้ทราบว่า
โภ สมโณ,ท่านพระสมณะ
โคตโม,ผู้มีนามว่าโคดม
ปฏิวสติ,ย่อมทรงพำนักอยู่
คาเม วา,ในหมู่บ้านหรือ
นิคเม วา,หรือว่าในนิคม
ยสฺมึ,ใด
อมนุสฺสา,อมนุษย์ ท.
น วิเหเฐนฺติ,ย่อมไม่เบียดเบียน
มนุสฺเส,ซึ่งมนุษย์ ท.
คาเม วา,ในหมู่บ้านหรือ
นิคเม วา,หรือว่าในนิคม
ตสฺมึ,นั้น
,... (๒๑)
ขลุ,ได้ทราบว่า
โภ สมโณ,ท่านพระสมณะ
โคตโม,ผู้มีนามว่าโคดม
,ทรงเป็นเจ้าหมู่
,ทรงเป็นเจ้าคณะ
คณาจริโย,ทรงเป็นคณาจารย์
อกฺขายติ,ได้รับยกย่อง
อคฺคํ=อคฺคํ อิติ,ว่าเป็นยอด
ปุถุติตฺถกรานํ,กว่าเจ้าลัทธิเป็นอันมาก ท.
ปน โภ,แน่ะท่านผู้เจริญ
ยโส,ยศ
สมณพฺราหฺมณานํ,ของสมณะและพราหมณ์ ท.
เอเตสํ,เหล่านี้
สมุทาคจฺฉติ,ย่อมรุ่งเรือง
ยถา วา ตถา วา=เยน วา เตน วา (การเณน),ด้วยเหตุใด
หิ,แต่ว่า
ยโส,พระยส
สมณสฺส,ของพระสมณะ
โคตมสฺส,ผู้มีนามว่าโคดม
น สมุทาคโต,ไม่รุ่งเรืองแล้ว
เอวํ,อย่างนี้
อถ โข,โดยที่แท้แล
ยโส,พระยส
สมณสฺส,ของพระสมณะ
โคตมสฺส,ผู้มีนามว่าโคดม
สมุทาคโต,รุ่งเรืองแล้ว
วิชฺชาจรณสมฺปทาย,เพราะความถึงพร้อมแห่งวิชชาและจรณะ
อนุตฺตราย,อันยอดเยี่ยม ... (๒๒)
ขลุ,ได้ทราบว่า
ราชา,พระราชา
พิมฺพิสาโร,ผู้มีนามว่าพิมพิสาร
มาคโธ,ผู้ทรงครองแคว้นมคธ
เสนิโย,ผู้ทรงมีกองทัพใหญ่
สปุตฺโต,พร้อมทั้งพระโอรส
สภริโย,พร้อมทั้งพระมเหสี
สปริโส,พร้อมทั้งราชบริพาร
สามจฺโจ,พร้อมทั้งอำมาตย์
คโต,ทรงถึงแล้ว
สมณํ,ซึ่งท่านพระสมณะ
โคตมํ,ผู้มีนามว่าโคดม
สรณํ=สรณํ อิติ,ว่าเป็นสรณะ
ปาเณหิ,ด้วยชีวิต
,ท.
,... (๒๓)
ขลุ,ได้ทราบว่า
ราชา,พระราชา
ปเสนทิ โกสโล,ผู้มีนามว่าปเสนทิโกศล
สปุตฺโต,พร้อมทั้งพระโอรส
สภริโย,พร้อมทั้งพระมเหสี
สปริโส,พร้อมทั้งราชบริพาร
สามจฺโจ,พร้อมทั้งอำมาตย์
คโต,ทรงถึงแล้ว
สมณํ,ซึ่งท่านพระสมณะ
โคตมํ,ผู้มีนามว่าโคดม
สรณํ=สรณํ อิติ,ว่าเป็นสรณะ
ปาเณหิ,ด้วยชีวิต
,ท. ... (๒๔)
ขลุ,ได้ทราบว่า
พฺราหฺมโณ,พราหมณ์
โปกฺขรสาติ,ผู้มีนามว่าโปกขรสาติ
สปุตฺโต,พร้อมทั้งบุตร
สภริโย,พร้อมทั้งภริยา
สปริโส,พร้อมทั้งบริวาร
สามจฺโจ,พร้อมทั้งอำมาตย์
คโต,ถึงแล้ว
โภ สมณํ,ซึ่งท่านพระสมณะ
โคตมํ,ผู้มีนามว่าโคดม
สรณํ=สรณํ อิติ,ว่าเป็นสรณะ
ปาเณหิ,ด้วยชีวิต
,ท. ... (๒๕)
ขลุ,ได้ทราบว่า
โภ สมโณ,ท่านพระสมณะ
โคตโม,ผู้มีนามว่าโคดม
รญฺโญ,อันพระราชา
พิมฺพิสารสฺส,ผู้มีนามว่าพิมพิสาร
มาคธสฺส,ผู้ทรงครองแคว้นมคธ
เสนิยสฺส,ผู้ทรงมีกองทัพใหญ่
สกฺกโต,ทรงสักการะแล้ว
ครุกโต,ทรงเคารพแล้ว
มานิโต,ทรงนับถือแล้ว
ปูชิโต,ทรงบูชาแล้ว
อปจิโต,ทรงนอบน้อมแล้ว ... (๒๖)
ขลุ,ได้ทราบว่า
โภ สมโณ,ท่านพระสมณะ
โคตโม,ผู้มีนามว่าโคดม
รญฺโญ,อันพระราชา
ปเสนทิสฺส โกสลสฺส,ผู้มีนามว่าปเสนทิโกศล
สกฺกโต,ทรงสักการะแล้ว
ครุกโต,ทรงเคารพ
แล้ว มานิโต,ทรงนับถือแล้ว
ปูชิโต,ทรงบูชาแล้ว
อปจิโต,ทรงนอบน้อมแล้ว ... (๒๗)
ขลุ,ได้ทราบว่า
โภ สมโณ,ท่านพระสมณะ
โคตโม,ผู้มีนามว่าโคดม
พฺราหฺมณสฺส,อันพราหมณ์
โปกฺขรสาติสฺส,ผู้มีนามว่าโปกขรสาติ
สกฺกโต,สักการะแล้ว
ครุกโต,เคารพแล้ว
มานิโต,นับถือแล้ว
ปูชิโต,บูชาแล้ว
อปจิโต,นอบน้อมแล้ว ... (๒๘)
ขลุ,ได้ทราบว่า
โภ สมโณ,ท่านพระสมณะ
โคตโม,ผู้มีนามว่าโคดม
อนุปฺปตฺโต,เสด็จถึงแล้ว
จมฺปํ,ซึ่งเมืองจัมปา
วิหรติ,ประทับอยู่
ตีเร,ใกล้ฝั่ง
โปกฺขรณิยา,แห่งสระโบกขรณี
คคฺคราย,มีนามว่าคัคครา
จมฺปายํ,ใกล้เมืองจัมปา
โภ,แน่ะท่าน ท.
ปน,ก็
สมณา วา,สมณะ ท. ก็ดี
พฺราหฺมณา วา,พราหมณ์ ท. ก็ดี
เย โข เกจิ,ทั้งหมด
อาคจฺฉนฺติ,ย่อมมา
คามเขตฺตํ,สู่เขตเมือง
อมฺหากํ,ของเรา ท.
เต (สมณพฺราหฺมณา),สมณะและพราหมณ์ ท. เหล่านั้น
อติถี,เป็นแขก
โน,ของเรา ท.
,ย่อมเป็น
ปน,และ
อติถี โข,บุคคลผู้เป็นแขก ท.
อมฺเหหิ,อันเรา ท.
สกฺกาตพฺพา,ควรสักการะ
ครุกาตพฺพา,ควรเคารพ
มาเนตพฺพา,ควรนับถือ
ปูเชตพฺพา,ควรบูชา
อปเจตพฺพา,ควรนอบน้อม
โภ สมโณ,ท่านพระสมณะ
โคตโม,ผู้มีนามว่าโคดม
อนุปฺปตฺโต,เสด็จถึงแล้ว
จมฺปํ,ซึ่งเมืองจัมปา
วิหรติ,ย่อมประทับอยู่
ตีเร,ใกล้ฝั่ง
โปกฺขรณิยา,แห่งสระโบกขรณี
คคฺคราย,มีนามว่าคัคครา
จมฺปายํ,ใกล้เมืองจัมปา
สมโณ,ท่านพระสมณะ
โคตโม,ผู้มีนามว่าโคดม
อติถิ,ทรงเป็นแขก
อมฺหากํ,ของเรา ท.
(โหติ),ย่อมเป็น
ปน,และ
อติถิ โข,ผู้เป็นแขก
อมฺเหหิ,อันเรา ท.
สกฺกาตพฺโพ,ควรสักการะ
ครุกาตพฺโพ,ควรเคารพ
มาเนตพฺโพ,ควรนับถือ
ปูเชตพฺโพ,ควรบูชา
อปเจตพฺโพ,ควรนอบน้อม
ยมฺปิ,เพราะเหตุใด
อิมินาปิ องฺเคน,ด้วยเหตุแม้นี้
ภวํ โคตโม,ท่านพระโคดม
โส,พระองค์นั้น
น อรหติ,ย่อมไม่ควร
อุปสงฺกมิตุํ,ที่จะเสด็จเข้ามา
ทสฺสนาย,เพื่อหา
อมฺหากํ,ซึ่งเรา ท.
อถ โข,โดยที่แท้
มยํ เอว,เรา ท. นั่นเทียว
อรหาม,ย่อมควร
อุปสงฺกมิตุํ,ที่จะเข้าไป
ทสฺสนาย,เพื่อเฝ้า
ภวนฺตํ โคตมํ,ซึ่งท่านพระโคดม
ตํ,พระองค์นั้น
โภ,แนะท่านผู้เจริญ
อหํ,ข้าพเจ้า
ปริยาปุณามิ=ชานามิ,ย่อมทราบ
วณฺเณ,ซึ่งพระคุณ ท.
โภโต โคตมสฺส,ของท่านพระโคดม
ตสฺส,พระองค์นั้น
เอตฺตเก โข,เพียงเท่านี้
จ,แต่ว่า
ภวํ โคตโม,ท่านพระโคดม
โส,พระองค์นั้น
เอตฺตกวณฺโณ,เป็นผู้มีพระคุณเพียงเท่านี้
(โหติ),ย่อมเป็น
โน โข,หามิได้
หิ,ความจริง
ภวํ โคตโม,ท่านพระโคดม
โส,พระองค์นั้น
อปริมาณวณฺโณ,เป็นผู้มีพระคุณหาประมาณมิได้
(โหติ),ย่อมเป็น
,. (๒๙)
,๓๐๕]
(วจเน),ครั้นเมื่อคำ
(พฺราหฺมเนน),อันพราหมณ์
(โสณทณฺเฑน),ผู้มีนามว่าโสณทัณฑะ
วุตฺเต,กล่าวแล้ว
เอวํ,อย่างนี้
เต พฺราหฺมณา,พราหมณ์ ท. เหล่านั้น
อโวจุํ,ได้กล่าวแล้ว
เอตํ (วจนํ,)  ซึ่งคำนี้
พฺราหฺมณํ,กะพราหมณ์
โสณฑณฺฑํ,ผู้มีนามว่าโสณทัณฑะ
อิติ,ว่า
ภวํ โสณทณฺโฑ,ท่านโสณทัณฑะ
ภาสติ,ย่อมกล่าว
วณฺเณ,ซึ่งคำสรรเสริญ ท.
สมณสฺส,ต่อพระสมณะ
โคตมสฺส,ผู้มีนามว่าโคดม
ยถา โข,ถึงเพียงนี้
เจปิ,แม้หากว่า
ภวํ โคตโม,ท่านพระโคดม
โส,พระองค์นั้น
วิหรติ,จะประทับอยู่
โยชนสเต,ในที่ไกล ๑๐๐ โยชน์
อิโต,จากที่นี้
อลํ เอว=ยุตฺตํ เอว,สมควรนั่นเทียว
กุลปุตฺเตน,อันกุลบุตร
สทฺเธน,ผู้มีศรัทธา
อุปสงฺกมิตุํ,จะเข้าไป
ทสฺสนาย,เพื่อเฝ้า
อปิ,และ
(อลํ เอว=ยุตฺตํ เอว),สมควรนั่นเทียว
(กุลปุตฺเตน),อันกุลบุตร
,ผู้มีเสบียงที่บ่า
(อุปสงฺกมิตุ)ํ,จะเข้าไป
(ทสฺสนาย),เพื่อเฝ้า
(พฺราหฺมโณ),พราหมณ์
(โสณทณฺโฑ),ผู้มีนามว่าโสณทัณฑะ
(อาห),กล่าวแล้ว
อิติ,ว่า
โภ,แน่ะท่าน ท.
เตนหิ,ถ้าอย่างนั้น
มยํ,เรา ท.
สพฺเพ ว,ทั้งหมดนั่นแหละ
อุปสงฺกมิสฺสาม,จักเข้าไป
ทสฺสนาย,เพื่อเฝ้า
สมณํ,ซึ่งพระสมณะ
โคตมํ,ผู้มีนามว่าโคดม
โสณทณฺฑปริวิตกฺก,ความคิดของโสณทัณฑพราหมณ์
,๓๐๖]
,ลำดับนั้น
พฺราหฺมโณ,พราหมณ์
โสณทณฺโฑ,ผู้มีนามว่าโสณทัณฑะ
โปกฺขรณี,สระโบกขรณี
คคฺครา,ชื่อว่าคัคครา
(อุปสงฺกมิตพฺพา),อันบุคคลพึงเข้าไป
เยน (ทิสาภาเคน),โดยส่วนแห่งทิศใด
อุปสงฺกมิ,เข้าไปแล้ว
เตน (ทิสาภาเคน),โดยส่วนแห่งทิศนั้น
,อีกนัยหนึ่ง
โปกฺขรณี,สระโบกขรณี
คคฺครา,ชื่อว่าคัคครา
(อตฺติ,)  มีอยู่
เยน=ยสฺมึ (ปเทเส),ในที่ใด
อุปสงฺกมิ,เข้าไปแล้ว
เตน=ตตฺถ (ปเทเส),สู่ที่นั้น
,"],"
สทฺธึ,พร้อม
พฺราหฺมณคเณน,กับคณะแห่งพราหมณ์
มหตา,หมู่ใหญ่.
อถ โข,ครั้งนั้น
ปริวิตกฺโก,ความคิด
เจตโส,แห่งใจ
เอวํ,อย่างนี้
อุทปาทิ,ได้เกิดขึ้นแล้ว
พฺราหฺมณสฺส,แก่พราหมณ์
โสณทณฺฑสฺส,ผู้มีนามว่าโสณทัณฑะ
ติโรวนสณฺฑคตสฺส,ผู้ถึงภายในราวป่าแล้ว
อิติ,ว่า
จ ปน,ถ้า
อหํ เอว โข,เรานั่นเทียว
ปุจฺเฉยฺยํ,จะถาม
ปญฺหํ,ซึ่งปัญหา
สมณํ,กะพระสมณะ
โคตมํ,ผู้มีนามว่าโคดม
เจ,หากว่า
สมโณ,พระสมณะ
,ผู้มีนามว่าโคดม
วเทยฺย,พึงตรัส
มํ,กะเรา
ตตฺร (ปญฺเห),ในปัญหานั้น
เอวํ,อย่างนี้
อิติ,ว่า
พฺราหฺมณ,ดูก่อนพราหมณ์
เอส ปญฺโห โข,ปัญหาข้อนี้
(ตยา),อันท่าน
น ปุจฺฉิตพฺโพ,ไม่ควรถาม
เอวํ,อย่างนี้
พฺราหฺมณ,ดูก่อนพราหมณ์
เอส นาม ปญฺโห,ธรรมดาปัญหานี้
ตยา,อันท่าน
ปุจฺฉิตพฺโพ,ควรถาม
เอวํ,อย่างนี้
อยํ ปริสา,บริษัทนี้
ปริภเวยฺย,พึงดูหมิ่น
มํ,ซึ่งเรา
เตน,เพราะการถามปัญหานั้น
อิติ,ว่า
พฺราหฺมโณ,พราหมณ์
,ผู้มีนามว่าโสณทัณฑะ
พาโล,เป็นคนเขลา
อพฺยตฺโต,เป็นคนไม่ฉลาด
(โหติ),ย่อมเป็น
(พฺราหฺมโณ),พราหมณ์
(โสณทณฺโฑ),ผู้มีนามว่าโสณทัณฑะ
นาสกฺขิ,ไม่อาจแล้ว
ปุจฺฉิตุํ,เพื่อจะถาม
ปญฺหํ,ซึ่งปัญหา
โยนิโส,โดยแยบคาย
สมณํ,กะพระสมณะ
โคตมํ,ผู้มีนามว่าโคดม
ปน,ก็
อยํ ปริสา,บริษัทนี้
ปริภเวยฺย,พึงดูหมิ่น
ยํ (ปุคฺคลํ) โข,ซึ่งบุคคลใด
ยโสปิ,แม้ยศ
ตสฺส (ปุคฺคลสฺส),ของบุคคลนั้น
หาเยถ,พึงเสื่อม
ปน,และ
ยโส,ยส
ยสฺส (ปุคฺคลสฺส) โข,ของบุคคลใด
หาเยถ,พึงเสื่อม
โภคาปิ,แม้โภคสมบัติ ท.
ตสฺส (ปุคฺคลสฺส),ของบุคคลนั้น
หาเยยฺยุํ,ก็พึงเสื่อม
ปน,เพราะว่า
โภคา,โภคสมบัติ ท.
อมฺหากํ,ของเรา ท.
ยโสลทฺธา โข,เป็นของมีเพราะยศ
(โหนฺติ),ย่อมเป็น
จ ปน,หากว่า
สมโณ,พระสมณะ
โคตโม,ผู้มีนามว่าโคดม
ปุจฺเฉยฺย,พึงตรัสถาม
ปญฺหํ,ซึ่งปัญหา
มมํ เอว โข,กะเรานั่นเทียว
จ,และ
อหํ,เรา
น อาราเธยฺยํ,ไม่อาจทรงไว้
จิตฺตํ,ซึ่งพระทัย
ตสฺส,ของพระสมณะโคดมนั้น
เวยฺยากรเณน,ด้วยการกล่าวแก้
ปญฺหสฺส,ซึ่งปัญหา
เจ,หากว่า
สมโณ,พระสมณะ
โคตโม,ผู้มีนามว่าโคดม
วเทยฺย,พึงตรัส
มํ,กะเรา
ตตฺร (ปญฺเห),ในปัญหานั้น
เอวํ,อย่างนี้
อิติ,ว่า
พฺราหฺมณ,ดูก่อนพราหมณ์
เอส ปญฺโห,ปัญหานี้
(ตยา),อันท่าน
น โข พฺยากาตพฺโพ,ไม่ควรกล่าวแก้
เอวํ,อย่างนี้
พฺราหฺมณ,ดูก่อนพราหมณ์
เอส นาม ปญฺโห,ธรรมดาปัญหานี้
(ตยา),อันท่าน
พฺยากาตพฺโพ,ควรกล่าวแก้
เอวํ,อย่างนี้
อยํ ปริสา,บริษัทนี้
ปริภเวยฺย,พึงดูหมิ่น
มํ,ซึ่งเรา
เตน,เพราะการกล่าวแก้ปัญหานั้น
อิติ,ว่า
พฺราหฺมโณ,พราหมณ์
โสณทณฺโฑ,ผู้มีนามว่าโสณทัณฑะ
พาโล,เป็นคนเขลา
อพฺยตฺโต,เป็นคนไม่ฉลาด
(โหติ),ย่อมเป็น
(พฺราหฺมโณ),พราหมณ์
(โสณทณฺโฑ),ผู้มีนามว่าโสณทัณฑะ
นาสกฺขิ,ไม่อาจแล้ว
อาราเธตุํ,เพื่อจะทรงไว้
จิตฺตํ,ซึ่งพระทัย
สมณสฺส,ของพระสมณะ
โคตมสฺส,ผู้มีนามว่าโคดม
เวยฺยากรเณน,ด้วยการกล่าวแก้
ปญฺหสฺส,ซึ่งปัญหา
ปน,ก็
อยํ ปริสา,บริษัทนี้
ปริภเวยฺย,พึงดูหมิ่น
ยํ (ปุคฺคลํ) โข,ซึ่งบุคคลใด
ยโสปิ,แม้ยศ
ตสฺส (ปุคฺคลสฺส),ของบุคคลนั้น
หาเยถ,พึงเสื่อม
ปน,และ
ยโส,ยส
ยสฺส (ปุคฺคลสฺส) โข,ของบุคคลใด
หาเยถ,พึงเสื่อม
โภคาปิ,แม้โภคสมบัติ ท.
ตสฺส (ปุคฺคลสฺส),ของบุคคลนั้น
หาเยยฺยุํ,ก็พึงเสื่อม
ปน,เพราะว่า
โภคา,โภคสมบัติ ท.
อมฺหากํ,ของเรา ท.
ยโสลทฺธา โข,เป็นของมีเพราะยส
(โหนฺติ),ย่อมเป็น
จ ปน,อนึ่ง
อหํเอว โข,เรานั่นแล
สมีปคโต,เป็นผู้เข้ามาใกล้
เอวํ,อย่างนี้
สมาโน,เป็นอยู่
อทิสฺวาว,ยังมิได้เฝ้าแล้วเทียว
สมณํ,ซึ่งพระสมณะ
โคตมํ,ผู้มีนามว่าโคดม
นิวตฺเตยฺยํ,จะพึงกลับเสีย
อยํ ปริสา,บริษัทนี้
ปริภเวยฺย,พึงดูหมิ่น
มํ,ซึ่งเรา
เตน,เพราะการไม่เข้าเฝ้านั้น
อิติ,ว่า
พฺราหฺมโณ,พราหมณ์
โสณทณฺโฑ,ผู้มีนามว่าโสณทัณฑะ
พาโล (จ),เป็นคนเขลาด้วย
อพฺยตฺโต (จ),เป็นคนไม่ฉลาดด้วย
มานถทฺโธ จ,เป็นคนกระด้างด้วยมานะด้วย
ภีโต จ,เป็นคนขี้ขลาดด้วย
(โหติ),ย่อมเป็น
(พฺราหฺมโณ),พราหมณ์
(โสณทณฺโฑ),ผู้มีนามว่าโสณทัณฑะ
โน วิสหติ,ย่อมไม่อาจ
อุปสงฺกมิตุํ,ที่จะเข้าไป
ทสฺสนาย,เพื่อเฝ้า
สมณํ,ซึ่งพระสมณะ
โคตมํ,ผู้มีนามว่าโคดม
(พฺราหฺมโณ),พราหมณ์
(โสณทณฺโฑ),ผู้มีนามว่าโสณทัณฑะ
สมีปคโต,เป็นผู้เข้ามาใกล้
เอวํ,อย่างนี้
สมาโน,เป็นอยู่
อทิสฺวา,ยังมิได้เฝ้าแล้ว
สมณํ,ซึ่งพระสมณะ
โคตมํ,ผู้มีนามว่าโคดม
นิวตฺติสฺสติ,จักกลับเสีย
กถํ หิ นาม,อย่างไรเล่า
ปน,ก็
อยํ ปริสา,บริษัทนี้
ปริภเวยฺย,พึงดูหมิ่น
ยํ (ปุคฺคลํ) โข,ซึ่งบุคคลใด
ยโสปิ,แม้ยศ
ตสฺส (ปุคฺคลสฺส),ของบุคคลนั้น
หาเยถ,พึงเสื่อม
ปน,และ
ยโส,ยส
ยสฺส (ปุคฺคลสฺส) โข,ของบุคคลใด
หาเยถ,พึงเสื่อม
โภคาปิ,แม้โภคสมบัติ ท.
ตสฺส (ปุคฺคลสฺส),ของบุคคลนั้น
หาเยยฺยุํ,ก็พึงเสื่อม
ปน,เพราะว่า
โภคา,โภคสมบัติ ท.
อมฺหากํ,ของเรา ท.
ยโสลทฺธา โข,เป็นของมีเพราะยศ
(โหนฺติ),ย่อมเป็น
,[
,๓๐๗
อถ โข,ครั้งนั้น
พฺราหฺมโณ,พราหมณ์
โสณทณฺโฑ,ผู้มีนามว่าโสณทัณฑะ
ภควา,พระผู้มีพระภาค
(อุปสงฺกมิตพฺโพ),อันบุคคลพึงเข้าไป
เยน (ทิสาภาเคน),โดยส่วนแห่งทิศใด
อุปสงฺกมิ,เข้าไปแล้ว
เตน (ทิสาภาเคน),โดยส่วนแห่งทิศนั้น
,อีกนัยหนึ่ง
ภควา,พระผู้มีพระภาค
(วิหรติ,) ประทับอยู่
เยน=ยสฺมึ (ปเทเส),ในที่ใด
อุปสงฺกมิ,เข้าไปแล้ว
เตน=ตตฺถ (ปเทเส),สู่ที่นั้น
,"],"
อุปสงฺกมิตฺวา,ครั้นเข้าไปเฝ้าแล้ว
สมฺโมทิ,กล่าวทักทายด้วยความยินดีแล้ว
สทฺธึ,กับ
ภควตา,ด้วยพระผู้มีพระภาค
กถํ,ยังถ้อยคำ
สมฺโมทนียํ,ที่น่ายินดี
สารณียํ,ที่ควรแก่การระลึกถึง
วีติสาเรตฺวา,ให้จบลงแล้ว
นิสีทิ,นั่งแล้ว
เอกมนฺตํ=เอกํ + อนฺตํ,ในที่สมควรส่วนข้างหนึ่ง
,อีกนัยหนึ่ง
เอกมนฺตํ=เอกํ + อนฺตํ,โดยที่สมควรข้างหนึ่ง
,]\par
พฺราหฺมณคหปติกา อปิ โข,ฝ่ายพราหมณ์และคหบดี ท.
จมฺเปยฺยกา,ผู้อยู่ในเมืองจัมปา
อปฺเปกจฺเจ,บางพวก
อภิวาเทตฺวา,ถวายอภิวาทแล้ว
ภควนฺตํ,ซึ่งพระผู้มีพระภาค
นิสีทึสุ,นั่งแล้ว
เอกมนฺตํ=เอกํ + อนฺตํ,ในที่สมควรส่วนข้างหนึ่ง
,อีกนัยหนึ่ง
เอกมนฺตํ=เอกํ + อนฺตํ,โดยที่สมควรข้างหนึ่ง
,"],"
อปฺเปกจฺเจ (พฺราหฺมณคหปติกา),พราหมณ์และคหบดี ท. บางพวก
สมฺโมทึสุ,กล่าวทักทายด้วยความยินดีแล้ว
สทฺธึ,กับ
ภควตา,ด้วยพระผู้มีพระภาค
กถํ,ยังถ้อยคำ
สมฺโมทนียํ,ที่น่ายินดี
สารณียํ,ที่ควรแก่การระลึกถึง
วีติสาเรตฺวา,ให้จบลงแล้ว
นิสีทึสุ,นั่งแล้ว
เอกมนฺตํ=เอกํ + อนฺตํ,ในที่สมควรส่วนข้างหนึ่ง
,อีกนัยหนึ่ง
เอกมนฺตํ=เอกํ + อนฺตํ,โดยที่สมควรข้างหนึ่ง
,"],"
อปฺเปกจฺเจ (พฺราหฺมณคหปติกา),พราหมณ์และคหบดี ท. บางพวก
ภควา,พระผู้มีพระภาค
(วิหรติ),ย่อมประทับอยู่
เยน (ทิสาภาเคน),ทางทิศใด
ปณาเมตฺวา,ประนมแล้ว
อญฺชลึ,ซึ่งอัญชลี
เตน (ทิสาภาเคน),ทางทิศนั้น
นิสีทึสุ,นั่งแล้ว
เอกมนฺตํ=เอกํ + อนฺตํ,ในที่สมควรส่วนข้างหนึ่ง
,อีกนัยหนึ่ง
เอกมนฺตํ=เอกํ + อนฺตํ,โดยที่สมควรข้างหนึ่ง
,"],"
อปฺเปกจฺเจ (พฺราหฺมณคหปติกา),พราหมณ์และคหบดีท. บางพวก
สาเวตฺวา,ประกาศแล้ว
นามโคตฺตํ,ซึ่งชื่อและนามสกุล
นิสีทึสุ,นั่งแล้ว
เอกมนฺตํ=เอกํ + อนฺตํ,ในที่สมควรส่วนข้างหนึ่ง
,อีกนัยหนึ่ง
เอกมนฺตํ=เอกํ + อนฺตํ,โดยที่สมควรข้างหนึ่ง
,"],"
อปฺเปกจฺเจ (พฺราหฺมณคหปติกา),พราหมณ์และคหบดี ท. บางพวก
ตุณฺหีภูตา,เป็นผู้นิ่ง
(หุตฺวา),เป็น
นิสีทึสุ,นั่งแล้ว
เอกมนฺตํ=เอกํ + อนฺตํ,ในที่สมควรส่วนข้างหนึ่ง
,อีกนัยหนึ่ง
เอกมนฺตํ=เอกํ + อนฺตํ,โดยที่สมควรข้างหนึ่ง
,"],\par"
,๓๐๘]
,แม้ในที่นั้น
พฺราหฺมโณ,พราหมณ์
โสณทณฺโฑ,ผู้มีนามว่าโสณทัณฑะ
อนุวิตกฺเกนฺโต นิสินฺโน,เป็นผู้นั่งครุ่นคิดถึง
โหติ,ย่อมเป็น
เอตํ เอว,ซึ่งความคิดนั้นนั่นเอง
พหุลํ,เป็นอันมาก
อิติ,ว่า
ปน,ถ้า
โข,เรานั่นเทียว
ปุจฺเฉยฺยํ,จะถาม
ปญฺหํ,ซึ่งปัญหา
สมณํ,กะพระสมณะ
โคตมํ,ผู้มีนามว่าโคดม
เจ,หากว่า
สมโณ,พระสมณะ
,ผู้มีนามว่าโคดม
วเทยฺย,พึงตรัส
มํ,กะเรา
ตตฺร (ปญฺเห),ในปัญหานั้น
เอวํ,อย่างนี้
